ID,Work Item Type,Title,Assigned To,State,Story Points,Original Estimate,Priority,Iteration Path,Area Path,Description,Acceptance Criteria
,Epic,"Épica 1: Arquitectura Base, Infraestructura y DevOps",Alex Fernando Alfaro Diaz,New,13,,1,Shunshine Studio\Sprint 0,Shunshine Studio,"Establecer los cimientos desacoplados del sistema, entornos cloud y pipelines de Azure DevOps.",
,User Story,"US-1.01: Configuración de Base de Datos, Triggers y Seguridad en Supabase",Alex Fernando Alfaro Diaz,New,3,,1,Shunshine Studio\Sprint 0,Shunshine Studio,"Desplegar el esquema relacional en PostgreSQL de Supabase con RLS, triggers y buckets de almacenamiento.","Dado el script DDL, cuando se ejecute, se crean las 12 tablas. Dado anon_key, RLS deniega acceso directo. Dado registro en auth.users, trigger crea usuarios y clientes. Buckets publicos creados."
,Task,TSK-1.01.1: Ejecutar script DDL en SQL Editor de Supabase y validar tablas,Alex Fernando Alfaro Diaz,To Do,,3,1,Shunshine Studio\Sprint 0,Shunshine Studio,Ejecutar DDL completo en Supabase y verificar claves foráneas e índices.,
,Task,TSK-1.01.2: Implementar trigger on_auth_user_created para sincronización de usuarios,Alex Fernando Alfaro Diaz,To Do,,3,1,Shunshine Studio\Sprint 0,Shunshine Studio,Crear función handle_new_user() y trigger para poblar public.usuarios y public.clientes.,
,Task,TSK-1.01.3: Configurar políticas Row Level Security (RLS) en todas las tablas,Alex Fernando Alfaro Diaz,To Do,,2,1,Shunshine Studio\Sprint 0,Shunshine Studio,Habilitar RLS en esquema public sin permisos anónimos para proteger la base de datos.,
,Task,TSK-1.01.4: Crear buckets en Supabase Storage con políticas de lectura pública,Camila Antonia Calderon Cortez,To Do,,2,1,Shunshine Studio\Sprint 0,Shunshine Studio,Crear buckets servicios-imagenes y estilistas-avatares con acceso público de lectura.,
,User Story,US-1.02: Inicialización de la Web API en Java Spring Boot 3.3.3,Alex Fernando Alfaro Diaz,New,5,,1,Shunshine Studio\Sprint 0,Shunshine Studio,"Crear el proyecto Spring Boot 3.3.3 con arquitectura en capas (com.shushinestudio), JPA, Swagger y RFC 7807.",Conexión PostgreSQL en Supabase exitosa. ExceptionHandler RFC 7807 activo. Validación JWT operativa. Swagger OpenAPI disponible.
,Task,TSK-1.02.1: Scaffolding de solución Java Spring Boot 3.3.3 con arquitectura en capas,Alex Fernando Alfaro Diaz,To Do,,4,1,Shunshine Studio\Sprint 0,Shunshine Studio,"Crear proyecto Maven con paquete com.shushinestudio (controladores, servicios, repositorios, modelos, DTOs).",
,Task,TSK-1.02.2: Configurar DataSource con Spring Data JPA / PostgreSQL y conexión a Supabase,Alex Fernando Alfaro Diaz,To Do,,4,1,Shunshine Studio\Sprint 0,Shunshine Studio,Configurar application.properties con HikariCP Pooler y mapear entidades JPA.,
,Task,TSK-1.02.3: Configurar Spring Security 6 y filtro JwtAuthenticationFilter,Alex Fernando Alfaro Diaz,To Do,,3,1,Shunshine Studio\Sprint 0,Shunshine Studio,Configurar SecurityFilterChain con validación de tokens JJWT y autorización por roles.,
,Task,TSK-1.02.4: Configurar controlador global de excepciones con estándar RFC 7807 (ProblemDetail),Alex Fernando Alfaro Diaz,To Do,,3,1,Shunshine Studio\Sprint 0,Shunshine Studio,Implementar @RestControllerAdvice global para capturar excepciones de negocio y retornar ProblemDetail.,
,Task,TSK-1.02.5: Configurar Swagger / OpenAPI con soporte para Bearer Token,Alex Fernando Alfaro Diaz,To Do,,2,1,Shunshine Studio\Sprint 0,Shunshine Studio,Habilitar interfaz interactiva Swagger para pruebas de endpoints protegidos.,
,User Story,US-1.03: Inicialización de la App Móvil con .NET MAUI y Clean Architecture (MVVM),Camila Antonia Calderon Cortez,New,3,,1,Shunshine Studio\Sprint 0,Shunshine Studio,"Inicializar el proyecto .NET MAUI configurando CommunityToolkit.Mvvm, HttpClient, DI y recursos de estilo.",Tema oficial configurado. DelegatingHandler con interceptor RFC 7807 e inyección de token. Inyector DI operativo.
,Task,TSK-1.03.1: Inicializar proyecto .NET MAUI y estructura Clean Architecture (MVVM),Camila Antonia Calderon Cortez,To Do,,3,1,Shunshine Studio\Sprint 0,Shunshine Studio,"Crear estructura Core, Data, Domain y Presentation (Views/ViewModels).",
,Task,TSK-1.03.2: Implementar ResourceDictionary de estilos con paleta oficial de colores y fuentes,Camila Antonia Calderon Cortez,To Do,,3,1,Shunshine Studio\Sprint 0,Shunshine Studio,"Configurar colores Rosa, Blush, Lavanda y estilos XAML de controles.",
,Task,TSK-1.03.3: Configurar HttpClient con DelegatingHandler para autenticación y errores RFC 7807,Camila Antonia Calderon Cortez,To Do,,4,1,Shunshine Studio\Sprint 0,Shunshine Studio,Crear DelegatingHandler para interceptar ProblemDetails y manejar 401.,
,Task,TSK-1.03.4: Configurar inyección de dependencias en MauiProgram.cs,Camila Antonia Calderon Cortez,To Do,,2,1,Shunshine Studio\Sprint 0,Shunshine Studio,"Registrar DataSources, Repositorios, ViewModels y Views en MauiProgram.cs.",
,User Story,"US-1.04: Configuración de Repositorio, GitFlow y Tableros en Azure DevOps",Alex Fernando Alfaro Diaz,New,2,,2,Shunshine Studio\Sprint 0,Shunshine Studio,Configurar el proyecto en Azure DevOps con ramas protegidas y políticas de PR.,Branch policies en main y develop. Sprints creados en Azure Boards.
,Task,TSK-1.04.1: Configurar políticas de rama en main y develop,Alex Fernando Alfaro Diaz,To Do,,2,2,Shunshine Studio\Sprint 0,Shunshine Studio,Bloquear push directo y exigir Pull Requests con revisión mínima.,
,Task,TSK-1.04.2: Configurar Sprints 0 a 5 y columnas Kanban en Azure Boards,Alex Fernando Alfaro Diaz,To Do,,2,2,Shunshine Studio\Sprint 0,Shunshine Studio,Crear iteraciones y configurar tableros para seguimiento de historias y tareas.,
,Epic,"Épica 2: Autenticación, Seguridad y Perfiles de Usuario",Alex Fernando Alfaro Diaz,New,16,,1,Shunshine Studio\Sprint 1,Shunshine Studio,"Permitir el registro, autenticación híbrida y gestión de ficha de belleza del cliente.",
,User Story,US-2.01: Registro de Nuevos Clientes,Camila Antonia Calderon Cortez,New,5,,1,Shunshine Studio\Sprint 1,Shunshine Studio,"Crear cuenta de cliente ingresando nombre completo, correo, teléfono y contraseña.",Registro exitoso via Supabase Auth. Trigger crea registros en usuarios y clientes. Validación de correo duplicado.
,Task,TSK-2.01.1: Maquetar RegistroClientePage (XAML) con validaciones de formulario,Camila Antonia Calderon Cortez,To Do,,4,1,Shunshine Studio\Sprint 1,Shunshine Studio,Crear interfaz declarativa XAML de registro según Wireframe Pág. 5.,
,Task,TSK-2.01.2: Implementar AuthViewModel para registro con Supabase Auth,Camila Antonia Calderon Cortez,To Do,,4,1,Shunshine Studio\Sprint 1,Shunshine Studio,Conectar RegisterCommand con supabase.Auth.SignUp() y metadatos.,
,Task,TSK-2.01.3: Validar en PostgreSQL inserción de usuario y perfil de cliente,Alex Fernando Alfaro Diaz,To Do,,3,1,Shunshine Studio\Sprint 1,Shunshine Studio,Comprobar integridad referencial y asignación de rol Cliente por defecto.,
,Task,TSK-2.01.4: Pruebas de QA de validación de campos y manejo de errores,Camila Antonia Calderon Cortez,To Do,,2,1,Shunshine Studio\Sprint 1,Shunshine Studio,"Probar campos vacíos, correos duplicados y contraseñas débiles.",
,User Story,US-2.02: Inicio de Sesión y Manejo Seguro de Sesión con JWT,Camila Antonia Calderon Cortez,New,5,,1,Shunshine Studio\Sprint 1,Shunshine Studio,"Iniciar sesión con credenciales, obtener JWT y mantener sesión activa de forma segura.",Login exitoso emite JWT con claims. Token persistido de forma segura. Refresco automático ante 401.
,Task,TSK-2.02.1: Maquetar LoginClientePage (XAML) con toggles de visibilidad,Camila Antonia Calderon Cortez,To Do,,3,1,Shunshine Studio\Sprint 1,Shunshine Studio,Diseñar vista XAML de login según Wireframe Pág. 6.,
,Task,TSK-2.02.2: Implementar Custom Access Token Hook en Supabase,Alex Fernando Alfaro Diaz,To Do,,3,1,Shunshine Studio\Sprint 1,Shunshine Studio,Inyectar claims role e internal_user_id en el JWT emitido por Supabase.,
,Task,TSK-2.02.3: Implementar login en AuthViewModel y persistencia segura de token,Camila Antonia Calderon Cortez,To Do,,4,1,Shunshine Studio\Sprint 1,Shunshine Studio,Guardar tokens en SecureStorage y gestionar estado IsAuthenticated.,
,Task,TSK-2.02.4: Implementar flujo de refresco automático ante 401 en DelegatingHandler,Camila Antonia Calderon Cortez,To Do,,3,1,Shunshine Studio\Sprint 1,Shunshine Studio,Reintentar petición con refresh_token o redirigir a Login si expiró.,
,User Story,US-2.03: Visualización y Edición del Perfil de Cliente y Ficha Estética,Camila Antonia Calderon Cortez,New,6,,2,Shunshine Studio\Sprint 1,Shunshine Studio,"Visualizar y editar datos personales, fidelidad y diagnóstico capilar del cliente.",GET /api/perfil devuelve ficha completa. PUT /api/perfil actualiza campos de contacto y preferencias.
,Task,TSK-2.03.1: Implementar endpoints GET y PUT /api/perfil en Java Spring Boot,Alex Fernando Alfaro Diaz,To Do,,4,2,Shunshine Studio\Sprint 1,Shunshine Studio,Crear PerfilController y lógica de actualización en Clientes.,
,Task,TSK-2.03.2: Maquetar PerfilClientePage (XAML) según Wireframe Pág. 14,Camila Antonia Calderon Cortez,To Do,,4,2,Shunshine Studio\Sprint 1,Shunshine Studio,"Diseñar avatar, badge Nivel Oro y formulario de ficha capilar en XAML.",
,Task,TSK-2.03.3: Implementar PerfilViewModel conectando con la API,Camila Antonia Calderon Cortez,To Do,,3,2,Shunshine Studio\Sprint 1,Shunshine Studio,Gestionar estados de carga y guardado de perfil con CommunityToolkit.Mvvm.,
,Task,TSK-2.03.4: Pruebas de QA de persistencia de perfil y ficha estética,Camila Antonia Calderon Cortez,To Do,,2,2,Shunshine Studio\Sprint 1,Shunshine Studio,Verificar persistencia de cambios en base de datos.,
,Epic,Épica 3: Catálogo de Servicios y Motor de Disponibilidad,Alex Fernando Alfaro Diaz,New,21,,1,Shunshine Studio\Sprint 2,Shunshine Studio,Explorar la oferta comercial del salón y calcular en tiempo real los bloques de tiempo libres por estilista.,
,User Story,US-3.01: Catálogo de Servicios Categorizados y Filtros Rápidos,Camila Antonia Calderon Cortez,New,5,,1,Shunshine Studio\Sprint 2,Shunshine Studio,"Explorar catálogo clasificado por categorías (Cabello, Uñas, Maquillaje, Spa).",GET /api/servicios devuelve solo activos. Filtrado instantáneo por chip de categoría en app móvil.
,Task,TSK-3.01.1: Implementar GET /api/servicios con filtro por categoría en Java Spring Boot,Alex Fernando Alfaro Diaz,To Do,,4,1,Shunshine Studio\Sprint 2,Shunshine Studio,Crear ServicioController con consultas optimizadas.,
,Task,TSK-3.01.2: Maquetar CatalogoServiciosPage (XAML) según Wireframe Pág. 7,Camila Antonia Calderon Cortez,To Do,,4,1,Shunshine Studio\Sprint 2,Shunshine Studio,Diseñar chips de categorías y CollectionView de servicios en XAML.,
,Task,TSK-3.01.3: Implementar CatalogoViewModel con filtrado reactivo,Camila Antonia Calderon Cortez,To Do,,3,1,Shunshine Studio\Sprint 2,Shunshine Studio,"Controlar estados IsBusy, Loaded y colección filtrada.",
,Task,TSK-3.01.4: Pruebas de QA de carga de catálogo y renderizado de imágenes,Camila Antonia Calderon Cortez,To Do,,2,1,Shunshine Studio\Sprint 2,Shunshine Studio,Verificar carga rápida de imágenes desde Supabase Storage.,
,User Story,US-3.02: Ficha Técnica y Detalle del Tratamiento,Camila Antonia Calderon Cortez,New,3,,2,Shunshine Studio\Sprint 2,Shunshine Studio,"Visualizar descripción detallada, tiempo estimado y protocolo paso a paso del servicio.",GET /api/servicios/{id} devuelve protocolo completo. Navegación fluida hacia reserva.
,Task,TSK-3.02.1: Implementar GET /api/servicios/{id} detallado en Java Spring Boot,Alex Fernando Alfaro Diaz,To Do,,2,2,Shunshine Studio\Sprint 2,Shunshine Studio,"Retornar descripción completa, duración y protocolo.",
,Task,TSK-3.02.2: Maquetar DetalleServicioPage (XAML) según Wireframe Pág. 8,Camila Antonia Calderon Cortez,To Do,,3,2,Shunshine Studio\Sprint 2,Shunshine Studio,"Diseñar cabecera con foto, badge de precio y pasos de protocolo en XAML.",
,Task,TSK-3.02.3: Conectar botón Continuar transmitiendo ID de servicio,Camila Antonia Calderon Cortez,To Do,,2,2,Shunshine Studio\Sprint 2,Shunshine Studio,Almacenar servicio seleccionado en ReservaViewModel.,
,User Story,US-3.03: Selección de Estilistas y Asignación Automática,Camila Antonia Calderon Cortez,New,5,,1,Shunshine Studio\Sprint 2,Shunshine Studio,Ver estilistas capacitados para el servicio o elegir opción de asignación automática más rápida.,GET /api/estilistas filtra por habilidad. Opción 'Cualquiera disponible' pasa null a la API.
,Task,TSK-3.03.1: Implementar GET /api/estilistas?servicioId={id} en Java Spring Boot,Alex Fernando Alfaro Diaz,To Do,,4,1,Shunshine Studio\Sprint 2,Shunshine Studio,Filtrar estilistas activos vinculados en estilista_servicios.,
,Task,TSK-3.03.2: Maquetar SeleccionEstilistaPage (XAML) según Wireframe Pág. 9,Camila Antonia Calderon Cortez,To Do,,4,1,Shunshine Studio\Sprint 2,Shunshine Studio,Diseñar tarjetas de estilistas y card destacada de autoasignación en XAML.,
,Task,TSK-3.03.3: Manejar estado de selección en ReservaViewModel,Camila Antonia Calderon Cortez,To Do,,3,1,Shunshine Studio\Sprint 2,Shunshine Studio,Manejar selección individual o asignación automática.,
